submission_id,dataset_id,collection_id,collection_title,pi_list
submission_id,dataset_id,collection_id,collection_title,pi_list
9562,8298,10,UCLA Sigman/Bookheimer ACE and ARRA,"Sigman M, Geschwind D, Bookheimer S"
9831,8570,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
10079,8820,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
10081,8822,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
10103,8845,1906,Atypical Late Neurodevelopment in Autism,"Janet E Lainhart, MD"
10921,9791,2199,Establishing Moderators/Biosignatures of Antidepressant Response - Clinical Care (EMBARC) MDD Treatment and Controls,"Madhukar H. Trivedi, Myrna M. Weissman, Patrick J. McGrath and Ramin V. Parsey"
10957,9833,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11094,10064,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11102,10072,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11103,10073,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11375,10361,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11428,10417,2102,A Multidimensional Investigation of Cognitive Control Deficits in Psychopathology,Andrew Robert Mayer
11589,10680,2266,Inhibitory dysfunction in autism,Scott Murray
11623,10719,2286,FMRI and EEG approaches to the resting state in ASD,Ralph-Axel Mueller and Thomas T. Liu
11823,10933,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11825,10935,2358,Neural networks for attention to internal and external sensory cues in ASD,Carissa Cascio
11870,10981,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12194,11465,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12905,12348,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12961,12406,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
12965,12410,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
12999,12446,2199,Establishing Moderators/Biosignatures of Antidepressant Response - Clinical Care (EMBARC) MDD Treatment and Controls,"Madhukar H. Trivedi, Myrna M. Weissman, Patrick J. McGrath and Ramin V. Parsey"
13125,12582,2292,Molecular Mechanisms of Atypical Habituation in Autism Spectrum Disorders,Natalia Kleinhans
13138,12597,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13142,12602,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13202,12662,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
